twitter_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeffMerkley,@davidhogg111,@EricHolder,@DougJones,@brianschatz,@CREWcrew,@MoveOn,@RonWyden,@NormEisen,@neeratanden,@maziehirono,@TomSteyer,@AprilDRyan,@renato_mariotti,@shannonrwatts,@girlsreallyrule,@TheRickyDavila,@NickKnudsenUS,@GaryPeters,@KaivanShroff,@jontester,@AndreaRSalinas,@JamieforOregon,@TinaKotek,@CheriBeasleyNC,@valdemings,@oregonfoodbank,@ImmaBlueDot,@CarolforTexas,@Booker4KY,@DrAlGrossAK,@debbie4oregon,@CourtneyForHD26,@DebPattersonOR,@KielyforOregon,@MelissaCribbins,@go_to_Cgorsek,@JackieForOregon,@JasonForBend,@AricForMN,@ossoff,@Shemia_Fagan,@blackresiliency,@benraylujan,@bluesenatepac,@CortezMasto,@PeterHamby,@JamilSmith,@franklinleonard,@JesseCharlesLee,@CherylStrayed,@ChloeEudalyPDX,@danielledeal33,@dchase,@SenChrisDodd,@JuliaEAinsley,@SaraGideon,@GreenfieldIowa,@ReverendWarnock,@alexismcgill,@DickDurbin,@TheRevAl,@FSFP,@CNNSOTU,@JasonWiner,@JoCo_Democrats,@ChrisCoonsforDE,@timkaine,@ClaraJeffery,@AlphonsoDavid,,
SenatorTimScott,@SenTedCruz,@SenJohnKennedy,@MarshaBlackburn,@SarahHuckabee,@NikkiHaley,@LindseyGrahamSC,@SenTomCotton,@HARRISFAULKNER,@SenKevinCramer,@BretBaier,@SenMikeLee,@newtgingrich,@ChuckGrassley,@DanaPerino,@ShannonBream,@TGowdySC,@RandPaul,@SteveScalise,@kilmeade,@marthamaccallum,@LemonadeTwinsSC,@IDF,@StopAntisemites,@SudanTribune_EN,@SecBlinken,@AsstSecStateAF,@IWV,@CoachSBeamer,@TulsiGabbard,@ministrytostate,@StateDept,@CBP,@SenatorRicketts,@schoolchoicebyz,@danieldbunn,@JapanEmbDC,@Demarionjohns13,@KevinRobertsTX,@ACAfricaCenter,@SenKatieBritt,@jimmyfailla,@votetimscott,@OrthodoxUnion,@nickineily,@RepBurgessOwens,@RepAdrianSmith,@MichaelAmiridis,@Invest_InEd,@SenTedBuddNC,@SuccessCharters,@UNinWashington,@scresilience_,@GoGADC,@USAO_SC,@Lulunephron,@DeAngelisCorey,@floodcoalition,@Ph_Etienne,@RepAshleyHinson,@scyoungreps,@FLSheriffs,@bariweiss,@HBCUCaucus,@SenOssoff,@MickMulvaney,@MayraFlores_TX,@FrankLuntz,@GloucesterIn,@ZacMoffatt,@sarahehunt01,
SenatorRounds,@SenJohnThune,@SenThomTillis,@SenKevinCramer,@SenatorRisch,@SenJoniErnst,@SenDanSullivan,@MikeCrapo,@SenatorLankford,@SenJohnHoeven,@JohnCornyn,@JerryMoran,@SenJohnBarrasso,@SenatorFischer,@SenatorWicker,@SenCapito,@lisamurkowski,@SenJohnKennedy,@SenatorBraun,@SenatorCollins,@JohnBoozman,@Senlaphonza,@JCOsterNews,@kwelkernbc,@packers,@sdfarmersunion,@JenGriffinFNC,@Chaplain_Black,@US_SpaceCom,@elonmusk,@SenFettermanPA,@SenMullin,@SenEricSchmitt,@SenTedBuddNC,@SenKatieBritt,@extrardenary,@SenSanders,@SenatorMenendez,@SenAmyKlobuchar,@ChrisVanHollen,@SenRandPaul,@SenatorWarnock,@SenOssoff,@ChrisCoons,@ChrisMurphyCT,@HillCitySD,@WallDrug,@hotspringssd,@VisitSpearfish,@SturgisCVB,@_monumenthealth,@AveraHealth,@BlackHills,@MidwestNPS,@WindCaveNPS,@BadlandsNPS,@CusterStatePark,@SenatorLujan,@josegriffiths,@DSU_BCCCS,@DakotaState,@MeatPoultry,@RepMaryMiller,@LeeSDPB,@SecVilsack,@SenatorCarper,@SenatorHassan,@SenWarren,@SenDuckworth,@SenBooker,@SenCortezMasto,
SenJohnThune,@SenatorTimScott,@SenKevinCramer,@SenRonJohnson,@SenatorRisch,@SenJohnBarrasso,@SenJohnHoeven,@SenMikeLee,@argusleader,@SenatorWicker,@JohnCornyn,@JerryMoran,@ChuckGrassley,@SenatorRounds,@RoyBlunt,@SenatorLankford,@SenJoniErnst,@SenThomTillis,@SenatorEnzi,@SenatorFischer,@senrobportman,@SenJohnKennedy,@MarshaBlackburn,@SteveDaines,@SRCC,@SenTedBuddNC,@SenMullin,@SenVancePress,@RogerMarshallMD,@SenatorHagerty,@SenatorRicketts,@SenEricSchmitt,@SenKatieBritt,@SenLummis,@SenatorTester,@AmuseDemocracy,@StephenBlinco,@Mike_Pence,@HawleyMO,@SenShelby,@SenRickScott,@SenHydeSmith,@JohnBoozman,@SenatorBraun,@BillCassidy,@SenToddYoung,@sendavidperdue,@SenDanSullivan,@VP45,@lisamurkowski,@SenTomCotton,@GoJacksMBB,@LindseyGrahamSC,@SenCoryGardner,@eye_slayer,@uscapitol,@RepDustyJohnson,@paultenhaken,@RWrasse,@AberdeenNews,@Pardoned_Turkey,@KerryBrandenbu1,@josiegfried,@benpershing,,,,,,,,
MarshaBlackburn,@laurenboebert,@SpeakerMcCarthy,@marklevinshow,@Jim_Jordan,@HawleyMO,@SenTedCruz,@NEWSMAX,@TomFitton,@SenJohnKennedy,@DineshDSouza,@MonicaCrowley,@ACTBrigitte,@JesseBWatters,@SarahHuckabee,@RepAndyBiggsAZ,@ChuckGrassley,@RepMattGaetz,@JudgeJeanine,@mattgaetz,@StephenM,@_kingbau,@UNWatch,@HillelNeuer,@DavidM_Friedman,@robertcobrien,@SenatorRicketts,@michaeljknowles,@kevinolearytv,@_brittanylewis,@lafollettepress,@MrWinMarshall,@Riley_Gaines_,@RyanSchmelzFOX,@GillianHTurner,@TulsiGabbard,@StarParker,@SenBlumenthal,@ConservateurMag,@rosiorozco,@MattLeachFox,@TheHannahRay,@SenTedBuddNC,@SenKatieBritt,@DondePlowman,@MLuttrellTX,@mrBobbyBones,@bobbybonesshow,@amber_athey,@kristina_wong,@Caitlyn_Jenner,@Vol_Football,@TGowdySC,@argonzales,@JewishVoice,@TNECD,@StephenMoore,@alexavega,@GiannoCaldwell,@tmsilverman,@LynnFitchAG,@ishapiro,@ZumretErkin,@ajoden40,@ginacarano,@WinsomeSears,@foxnewsnight,@SeanMoran3,@brown_k3,@lizpeek,@PhelimKine,
SenatorHagerty,@MarshaBlackburn,@SenatorTimScott,@SenKevinCramer,@SenTuberville,@SenJohnKennedy,@SenatorBraun,@SenatorLankford,@SenKatieBritt,@RepSteel,@SenJoniErnst,@SenHawleyPress,@RepMarkGreen,@SenJohnThune,@RogerMarshallMD,@SenRonJohnson,@RepHarshbarger,@repkevinhern,@SenatorRomney,@SenBillCassidy,@SenShelby,@SpeakerJohnson,@realKTMcFarland,@BretBaier,@MorganOrtagus,@ClayTravis,@RepublicanStudy,@marklevinshow,@SenatorRicketts,@DCGOP,@NationalDebt,@GLFOP,@AppropsGOP,@FaulknerFocus,@SenTedBuddNC,@Vanderbilt_GR,@StephenM,@tnsecofstate,@JDVance1,@Eric_Schmitt,@MarkwayneMullin,@TedBuddNC,@SenRickScott,@USNationalGuard,@RJC,@unusual_whales,@SteveDaines,@HouseGOP,@RepFrenchHill,@NolensvilleLLB,@michaelgwaltz,@TNChamber,@RepBrianBabin,@JuddPDeere,@IngrahamAngle,@MariaBartiromo,@BPUnion,@AmericaRpts,@henryrodgersdc,@DucksUnlimited,@BillHemmer,@SenLummis,@RepBryanSteil,@CynthiaMLummis,@TNFFAFoundation,@tnffa,,,,,,
JohnCornyn,@NASA,@ChuckGrassley,@SpeakerMcCarthy,@SenTedCruz,@LindseyGrahamSC,@GregAbbott_TX,@MarshaBlackburn,@SenMikeLee,@SenRonJohnson,@SenTomCotton,@HouseGOP,@LeaderMcConnell,@SenateGOP,@RepAndyBiggsAZ,@SenJoniErnst,@RandPaul,@MikeCrapo,@GovAbbott,@SenJohnKennedy,@newtgingrich,@MK_Korinek,@joerogan,@CommunityNotes,@osint_mercury,@ilyasut,@KenHowery,@Join1440,@woj_zaremba,@EylonALevy,@CSLewisInst,@sama,@bobvanderplaats,@ParisHilton,@NATO_ACT,@finland,@miramurati,@triviapotus,@NatGeoMag,@HISTORY,@OpenAI,@gdb,@DovBenShimon,@AbigailShrier,@PaulDysonTX,@HidalgoElect,@RajShahDC,@AdeleScalia,@uaustinorg,@Arnold_Ventures,@GOPMayorsAssn,@Weaponization,@RepTrentKelly,@xai,@FraserNelson,@PaulMSherman,@nathanbenaich,@varun_mathur,@RealRJSanchez,@ylecun,@NEISD,@dannydanon,@Ramireztoons,@TheCalvinCooli1,@Israel_MOD,@LtColRichard,@KilleenISD_,@TxDOTFortWorth,@KatalinNovak_HU,@UT_Civitas,@DrMichaelOren,
SenTedCruz,@NASA,@TuckerCarlson,@GovRonDeSantis,@tedcruz,@marklevinshow,@RandPaul,@benshapiro,@dbongino,@seanhannity,@JesseBWatters,@BreitbartNews,@IngrahamAngle,@MarshaBlackburn,@KellyannePolls,@LindseyGrahamSC,@marcorubio,@GOP,@ChuckGrassley,@SenTuberville,@BrenYoung,@judicialnetwork,@SophieDelquie,@NoahPollak,@SpeakerJohnson,@BillMelugin_,@WarMachineRR,@sagesteele,@USCapitalAccess,@SenBillCassidy,@ComfortablySmug,@Riley_Gaines_,@gekaminsky,@RepEdwards,@RGVPartnership,@SenatorRicketts,@aaron_reitz,@BethanyCS1015,@mamasparkles168,@SenEricSchmitt,@SenTedBuddNC,@macamrtz,@GCPDTexas,@RepTroyNehls,@SenLummis,@repmayraflores,@DarinBMiller,@txvalues,@LeighWolf,@JoeKarwacki,@RepKatCammack,@LeaderMcConnell,@USBPChiefDRT,@ErinMPerrine,@DaveVasquezFL,@cnsnews,@USBPChief,@BPUnion,@TexasVeterans,@USBPChiefRGV,@martinoticias,@CUBADECIDE,@VoCommunism,@rollcall,@MatBest11x,@blckriflecoffee,@RosaMariaPaya,@SteveGuest,@ABCPolitics,@NBCPolitics,,
SenMikeLee,@SenTedCruz,@RandPaul,@ChuckGrassley,@SenatorTimScott,@SenJohnKennedy,@LindseyGrahamSC,@SenTomCotton,@marcorubio,@glennbeck,@SenRonJohnson,@HouseGOP,@newtgingrich,@SenateGOP,@RepAndyBiggsAZ,@DarrellIssa,@DailyCaller,@TGowdySC,@kimguilfoyle,@LeaderMcConnell,@ShannonBream,@SpeakerJohnson,@BillyGribbin,@X,@SenBillCassidy,@SenTuberville,@SenTedBuddNC,@RepChipRoy,@SenKatieBritt,@jordanbpeterson,@arc_forum,@thehistoryguy,@BasedMikeLee,@MattLaslo,@SenRandPaul,@SenRickScott,@SenatorBraun,@SenLummis,@UtahHonorFlight,@elonmusk,@SpeakerMcCarthy,@SenatorSinema,@iamrodneysmith,@WTCUtah,@LGHendersonUtah,@GovCox,@PresidentUofU,@SenatorRomney,@RepChrisStewart,@MorningsMaria,@GRIP6_,@GovMikeLeavitt,@uac29,@Udo_LLC,@MarshaBlackburn,@weldon_angelos,@RepJohnCurtis,@pye,@RepBlakeMoore,@RepBurgessOwens,@StevenStarks,@marthamaccallum,@mschlapp,@Mycroft_US,@AaronTWalker,@JamesRexLee,@kilmeade,@DanScavino,@jasonsjohnson,@PYNance,,
SenatorRomney,@LindseyGrahamSC,@SenJohnKennedy,@SenHawleyPress,@SenKevinCramer,@MarshaBlackburn,@SenatorBraun,@SenAmyKlobuchar,@SenatorCollins,@SenGaryPeters,@Sen_JoeManchin,@SenRonJohnson,@MikeCrapo,@SenEricSchmitt,@SenTuberville,@SenKatieBritt,@SenTomCotton,@SenatorRounds,@SenatorRisch,@SenJoniErnst,@SenJohnHoeven,@realHoustonKnox,@SenatorRicketts,@SenPeterWelch,@SenMullin,@SenVancePress,@SenTedBuddNC,@BradWilsonGOP,@JoelMFerry,@JStuartAdams,@TeamUSA,@RepBlakeMoore,@BLMUtah,@BLMNational,@Interior,@SecDebHaaland,@RepBurgessOwens,@ElectBlakeMoore,@SenAlexPadilla,@SenatorWarnock,@ossoff,@SenatorLujan,@SenMarkKelly,@SenatorHick,@RogerMarshallMD,@SenatorMarshall,@SenLummis,@SenatorHagerty,@GovCox,@LGHendersonUtah,@utahsenate,@MarthaMcSally,@SpencerJCox,@SenatorLoeffler,@RepDanCrenshaw,@RepAnnWagner,@SBAgov,@SmallBizCmteGOP,@EnergyGOP,@GovHerbert,@BenMcAdamsUT,@RepJohnCurtis,@RepChrisStewart,@SecondLady45,@FLOTUS45,@VP45,@POTUS45,,,,,
SenSanders,@NASA,@BernieSanders,@JoeBiden,@AOC,@VP,@BarackObama,@KamalaHarris,@HillaryClinton,@nytimes,@SenWarren,@BillClinton,@SpeakerPelosi,@ewarren,@washingtonpost,@SenSchumer,@RepAdamSchiff,@StephenAtHome,@SenateDems,@alfranken,@NPR,@DavidKlion,@JacobMagid,@lauren_sforza,@Harbpeace,@nicholaswu12,@mattberg33,@gardnerakayla,@AndrewDesiderio,@RepCasar,@RepBeccaB,@NoahKahan,@karavoght,@HassanElTayyab,@mehdirhasan,@nico_ballon,@TheMandyMoore,@SenStabenow,@JeffDean,@DrEricDing,@chamath,@Ansel,@COChicanoJoe,@misstessowen,@DavidPepper,@aimeeallison,@alicesperi,@Ismaelian,@andreasharsono,@DebtCrisisOrg,@WallachLori,@Ryan_Deitsch,@ErinSchrode,@jules_su,@rosadona,@DavoodGhadami,@bdomenech,@maxwelltani,@DeanObeidallah,@caraNYT,@ParisHilton,@rolandsmartin,@ZhugeEX,@ZainNaghmi,@KendallJenner,@ReggieBush,@amandapalmer,@miltosyerolemou,@sarahljaffe,@SanaSaeed,,
SenPeterWelch,@RepMcGovern,@RepJerryNadler,@BeccaBalintVT,@SenBlumenthal,@RepMarkPocan,@vermontedition,@RepVeasey,@RepAndreCarson,@GovPhilScott,@RepDebDingell,@JackThurstonVT,@SenatorLeahy,@RepZoeLofgren,@RepBarbaraLee,@JacksonLeeTX18,@RepDean,@RepDannyDavis,@GerryConnolly,@RepDonaldPayne,@RepCicilline,@USAmbOAS,@USAmbUN,@USEmbassyTurkey,@USEmbassyAthens,@USEmbassySerbia,@AmbasadaSUA,@USEmbassySLO,@USAmbNMacedonia,@USAmbMNE,@USAmbKosovo,@USEmbZagreb,@USEmbassySofia,@USEmbassySJJ,@USAmbAlbania,@usembassyjlm,@USPalAffairs,@usembassyve,@USembassyEC,@usembassyMVD,@laembajada,@EmbassyGuyana,@USEmbassyParbo,@EmbajadaEEUUcl,@EmbajadaEEUUarg,@EmbaixadaEUA,@USEmbassyBogota,@EmbEUAenBolivia,@irclimaperu,@USEmbNicaragua,@USMissionBelize,@usembassysjo,@USEmbassySV,@usembassyhn,@usembassyguate,@USIP,@HarunKarcic,@SenWhitehouse,@SecretaryPete,@CarbonBrief,@georgina_gustin,@partlowj,@maxinejoselow,@DSenFloor,@IfNotNowOrg,@WilsonCenterMEP,@WashInstitute,@TimepDC,@QuincyInst,@jvplive,@WinWithoutWar,
SenTimKaine,@RepMcClellan,@RepJenKiggans,@BobbyScott,@KatieCollettTV,@adriennereports,@matthewtwist14,@nicholaswu12,@HenryGraff,@bresreports,@laurynmossWAVY,@RavenPayneTV,@bluevirginia,@DestiniHarrisTV,@TomWAVYTV,@DaniellaMicaela,@WHSVchelsea,@MichelleWolfTV,@wetzler_jessica,@nmcmullin,@TylerJThrasher,@EricKolenich,@SenateBanking,@AverettU1859,@1025WBTM,@IALR,@BPCAction,@cspan,@Senlaphonza,@InsideWithPsaki,@Acosta,@DSenFloor,@NorthernVAMag,@votevets,@BlueStarFamily,@WTKR3,@aolivo,@MentalHealthAm,@sabrinasingh24,@drbreenheroes,@ThisWeekABC,@VAYDBlackCaucus,@ActSecJulieSu,@NASA_Langley,@CBS6,@fox43news,@WHSVnews,@8NEWS,@VSPPIO,@nbcwashington,@AndyFoxWAVYTV,@NatashaBertrand,@GMUdems,@ElaineLuriaVA,@JenniferBoysko,@VARedCross,@adamlongoTV,@EthanEstremNews,@dhazzTV,@sarahgoode_news,@USAmbHRC,@USAmbUN,@ShalandaYoung46,@DaniDougPost,@PunchbowlNews,@politicoalex,@DanLamothe,@RealJeffSnyder,@HannahAllam,@terri_rupar,@PiedmontVaCC,
MarkWarner,@NASA,@timkaine,@McFaul,@SenBlumenthal,@SenGillibrand,@SenatorDurbin,@AdamSchiff,@SenWhitehouse,@SenFeinstein,@maziehirono,@PattyMurray,@EricHolder,@peterbakernyt,@JohnWDean,@SenDuckworth,@DavidCornDC,@woodruffbets,@ChrisVanHollen,@Fahrenthold,@GenMhayden,@EPAMichaelRegan,@SpeakerJohnson,@SdhAtom,@flyROA,@iamIanMunro,@narendramodi,@washingtonian,@ecrobertson123,@AeroFarms,@RepMcClellan,@_BenLeonard_,@SenFettermanPA,@AmyJacksonVA,@SenKatieBritt,@MrKRudd,@ChefonWheels11,@wmataGM,@PunchbowlNews,@DaniDougPost,@KatieLo42865073,@Kristielou502,@ephoist,@SC_DoUsPart,@SenTimKaine,@TreasuryDepSec,@sequoiastweets,@ATFHQ,@ShalandaYoung46,@BBCHARDtalk,@JamieReports,@Hannah_Dreyfus,@BarbaraComstock,@IsabelCleary,@USUNSpoxOAD,@mo4good,@Surgeon_General,@SenTinaSmith,@VCTACable,@SIfill_,@LIRSorg,@USAmbUN,@KrishVignarajah,@MitchLandrieu46,@CapitolPolice,@SecTransVA,@ProbSolveCaucus,@BRAFB,@kaitlancollins,@ChrisMQuinn,@kristen_mirand,
SenatorCantwell,@NASA,@PattyMurray,@ChrisMurphyCT,@SenWhitehouse,@SenBlumenthal,@maziehirono,@SenatorDurbin,@GovInslee,@SenDuckworth,@SenGaryPeters,@SenatorTester,@SenJeffMerkley,@SenatorCardin,@ChrisVanHollen,@SenFeinstein,@SenBobCasey,@RonWyden,@SenJackReed,@SenAngusKing,@SenSherrodBrown,@EmmaEpperly,@MarchMadnessWBB,@katiecampbellwa,@RepMGP,@WWU_WSoccer,@UWDEOHS,@iduncan,@GPNF,@alley_post,@ComdtUSCG,@POTUS,@bradmwarren,@KHQAvaWainhouse,@WWUbasketball,@CascadiaDaily,@royahegdahl,@scottwongDC,@bresreports,@FranPelayo,@Jenna_VR,@NaomiSavin,@BobbyLRush,@orionds,@peterwtrue,@AnsleyLacitis,@rcohen,@SenatorHick,@RepStricklandWA,@ChelanDouglasHD,@marykbruce,@SenMarkKelly,@clubforfuture,@SeattleKraken,@sarahnferris,@wsbdc,@PhilipRucker,@lewiskamb,@NEDAstaff,@UWGOV,@NAPAWF,@HanfordNews,@RD_WA_STATE,@usdaRD,@AOC,@KenJennings,@TeamGleason,@DOTMARAD,@KONP1450,@RichardTrumka,@scicoalition,
PattyMurray,@NASA,@SenatorCantwell,@SenWarren,@SenBlumenthal,@ChrisMurphyCT,@SenatorDurbin,@SenWhitehouse,@maziehirono,@timkaine,@MarkWarner,@SenDuckworth,@SenFeinstein,@SenGaryPeters,@SenGillibrand,@clairecmc,@SenatorTester,@GovInslee,@SenJackReed,@SenatorBaldwin,@SenJeffMerkley,@Senlaphonza,@waDNR_fire,@pike_place,@WSUCougarWBB,@RepPressley,@waidf,@Puyallup_Tribe,@EPAMichaelRegan,@NASWhidbeyIslan,@SecRaimondo,@SO_Washington,@nwasianweekly,@RepLoisFrankel,@WhipKClark,@RepDebDingell,@mintimm,@aprilr_sims,@Neighborcare,@domesticworkers,@aijenpoo,@RepMGP,@RepStricklandWA,@SenatorLujan,@SASCDems,@SenatorHick,@SenatorWarnock,@SenOssoff,@SFRCdems,@SenPeterWelch,@SenTimKaine,@JudiciaryDems,@SenAlexPadilla,@SenJackyRosen,@SenFettermanPA,@WhiteHouse,@VP,@SecretaryPete,@POTUS,@SenMarkKelly,@realDonaldTrump,@NoamLevey,@HallieJackson,@KatyTurNBC,@gwlauren,@WSU_Cougar_Pres,@446AW,@62AirliftWing,@BobbyScott,@Kaitlin_Knapp1,@petermaxwelltv,
SenCapito,@Sen_JoeManchin,@SenKevinCramer,@SenatorRisch,@JerryMoran,@SenatorFischer,@MikeCrapo,@SenJohnHoeven,@lisamurkowski,@SenJohnBarrasso,@SenatorWicker,@SenThomTillis,@SenatorLankford,@JohnCornyn,@SenJoniErnst,@JohnBoozman,@SenatorCollins,@SenatorEnzi,@SenJohnThune,@WVGovernor,@wvgazettemail,@SenKatieBritt,@WheelingNailers,@FlyCKB,@AmuseDemocracy,@heffnera,@CynthiaMLummis,@SenatorBraun,@MonHealth,@DrGupta46,@WVURNI,@bee_chip,@SenGillibrand,@ahdcoffeeshop,@InnBavarian,@JohnTChambers,@WoodyWilliams45,@AppyLeague,@Go_WhistlePigs,@goridge_runners,@CBP,@SenatorHagerty,@ReshadHudson,@SenatorSinema,@SenatorRounds,@JRosenworcel,@POTUS,@SenTuberville,@AyneAmjad,@NewRiverNPS,@JCCIC,@SenatorRomney,@Upson4WV,@PositivelyWV_,@lunarloral,@WV_DHHR,@WVNationalGuard,@WVHomeland,@BradMcElhinny,@ShaunaJWV,@Counties_of_WV,@HigherEdWV,@TechConnectWV,@ed_gaunch,@SBA_WV,@WVSBDC,@TheJusticeDept,@StateDept,@SecPompeo,@ArmsteadWV,,
JoeManchinIII,@MajLeaderHirono,@AngusKingLMU,@ednotedlmu,@totallytedcruz,@SenAPadillaSim,@KevinCramerGOP,@VeryrealMitch,@kamalaharrissim,@legitJohnCornyn,@senatorthunesd,@TheWashingtonW,@BenjaminSasse22,@potusbiden_46,@realbobmenendez,@SecDebHLMUP,@JonTestersim,@MastoReal,@LisaMurkowskiA,@KrystenSinema1,@KashaniJuliette,@SecretaryFudge1,@daphnessroka,@RandPaulReal,@Sen_JoeManchin,@irltammybaldwin,@IAmTomCotton,@BuickJackson,@lizwarren100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBaldwin,@NASA,@GovEvers,@PattyMurray,@ChrisMurphyCT,@SenatorDurbin,@SenWhitehouse,@clairecmc,@MarkWarner,@SenDuckworth,@SenBlumenthal,@SenatorTester,@SenGaryPeters,@maziehirono,@ChrisVanHollen,@SenSherrodBrown,@SenFeinstein,@SenBobCasey,@SenatorCantwell,@RepMarkPocan,@SenMarkey,@USDOT,@SenFettermanPA,@MALC_WI,@morethanmySLE,@WausauPilot,@KeepitMadeinUSA,@RepRobynVining,@1950Granny,@RepSpeier,@NFED_ORG,@JRosenworcelFCC,@realtuffjuice,@Sheri_Swokowski,@MidwestProto,@WeAreGWA,@SCOTUSblogposts,@DemocracyNowUS,@PresLovell,@UFCW,@mulaw,@DrPosleyMPS,@DMorin1,@HuscoIntl,@mupeacemaking,@aemadvisor,@WisconsinDPI,@USDA,@IMakeAmerica,@austin_ramirez,@MKEWaterWorks,@DepSecBronaugh,@AFSCME,@WeRRestaurants,@mainstreetweets,@nowthisnews,@ArcInitiatives,@littlejohnsfood,@ngrimnews,@KuhnNA,@AEMAdvocacy,@MayorOfMadison,@UW_Odyssey,@IBEW,@AccessCHC,@DePere,@BrownWIExec,@SWWDB,@DrJillUnderly,@WomenInTrucking,@MkeCoDHHS,
SenRonJohnson,@NASA,@SpeakerMcCarthy,@ChuckGrassley,@HawleyMO,@MarshaBlackburn,@SenJohnKennedy,@SenTedCruz,@MariaBartiromo,@TheLeoTerrell,@jsolomonReports,@SenTomCotton,@mirandadevine,@JonathanTurley,@RepAndyBiggsAZ,@SenKevinCramer,@LouDobbs,@SteveScalise,@SenMikeLee,@SenatorTimScott,@BuckSexton,@NMRadioisotopes,@SusanYackee,@MikeTobinFox,@JamesStrattonTV,@NewsMacIver,@AndrewCraft,@America250,@ABCNational,@RepNancyMace,@NationalFFA,@ChandlerRebel,@Danny_Jativa,@jaeson_jones,@drscottjensen,@badgerinstitute,@bgalsWI,@AllieJ0308,@JanJekielek,@AverySelby_,@freedomcaucus,@EpochTV,@TravelGov,@JohnCena,@DavidLimbaugh,@jordanbpeterson,@tperkins,@COVIDSelect,@WIFOP,@JDVance1,@Weaponization,@drdrew,@WisTechColleges,@SenKatieBritt,@wisconsin_now,@WisHistory,@GOPoversight,@SenRandPaul,@CharlesBenson4,@RepDanBishop,@SenTedBuddNC,@SenMullin,@LTCTheresaLong,@RepJamesComer,@bgmasters,@AlecDZimmerman,@LevineJonathan,@TPUSA,@Kurt_R_Bauer,@henryrodgersdc,@TLABeloit,
SenJohnBarrasso,@MikeCrapo,@SenatorRisch,@SenatorEnzi,@SenJohnHoeven,@JerryMoran,@SenatorWicker,@SenatorFischer,@ChuckGrassley,@JohnBoozman,@SenKevinCramer,@RoyBlunt,@SenMikeLee,@SenRonJohnson,@SenThomTillis,@SenJohnThune,@SenatorCollins,@SenAlexander,@lisamurkowski,@SenPatRoberts,@SenatorLankford,@SpeakerJohnson,@wyo_football,@AWRHawkins,@TGowdySC,@GowdyAmerica,@Wyo_Roundup,@WYOENERGY,@PAWyoming,@SenateAgGOP,@kwelkernbc,@SenHawleyPress,@SenTuberville,@BankingGOP,@RogerMarshallMD,@SenatorRicketts,@WCCA1,@WYHealthFairs,@RepHageman,@TedBuddNC,@SenKatieBritt,@JDVance1,@SenEricSchmitt,@SenMullin,@uw_law,@arappeport,@BillMelugin_,@johnrobertsFox,@tracegallagher,@TylerOlson1791,@LucasFoxNews,@aishahhasnie,@LastCallCNBC,@SenatorHagerty,@HoustonKeene,@DarianDudrick,@daily_cowboy,@Sheridan_Press,@KThomasDC,@WyomingITC,@SenFinance,@CynthiaMLummis,@RobWallace_FWP,@LindseyGrahamSC,@WY_StockGrowers,@NCSDPathways,@oilcitywyo,@SBA_Wyoming,@SenatorLoeffler,@USFWS,@WGFD,
SenLummis,@GaryGensler,@jackmallers,@cameron,@PatrickMcHenry,@RepMikeRogersAL,@SenKevinCramer,@congbillposey,@CongressmanGT,@CynthiaMLummis,@GOPMajorityWhip,@WarrenDavidson,@RobWittman,@RepMcClintock,@SpeakerMcCarthy,@SenEricSchmitt,@SenTuberville,@SenatorBraun,@SenKatieBritt,@HouseGOP,@AngusThuermer,@coinbase,@nic__carter,@PeterMcCormack,@ZachKraft7,@MariaBartiromo,@NationalMining,@@NationalMining,@RSI,@aga_naturalgas,@RepHageman,@SenMullin,@JDVance1,@SenVancePress,@Mark_Gordon_WY,@saylor,@CRESenergy,@crypto_council,@cjboxauthor,@Jenniferisms,@jesseahamilton,@kevinolearytv,@ElizLanders,@RepBice,@BloombergLive,@MacWatson,@DigAssetMarkets,@allyversprille,@lukaske,@SenGillibrand,@SuzYoungblood,@FoxBusiness,@FugateValeria,@daily_cowboy,@kelly_laco,@POLITICOLive,@gillibrandny,@YellowstoneNPS,@DarinBMiller,@OrrinHatch,@SenatorWicker,@RepCuellar,@ExposingBiden,@AAF,@RepLaHood,@RepBalderson,@SenThomTillis,@Gracie_Foulk,@amacker,,,
