SenatorHick,@MarkWarner,@SenatorHick,@SenLummis,@SenWhitehouse,@SenatorRomney,@SenatorShaheen,@SenToddYoung,@SenSchumer,@SenatorSinema,@SenKevinCramer,@SenatorBennet,@SenatorDurbin,@SenatorCantwell,@SenatorCollins,@SenThomTillis,@JohnCornyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorLankford,@MarshaBlackburn,@SenJohnKennedy,@HawleyMO,@SenatorRomney,@SenJohnThune,@SenatorCardin,@SenTedCruz,@SenatorHassan,@SenRickScott,@SenSchumer,@SenMullin,@SenatorHagerty,@SenatorDurbin,@SenAlexPadilla,@SenatorMenendez,@SenJoniErnst,@LeaderMcConnell,@SenatorLankford,@SenTomCotton,@SenJackyRosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorLujan,@SenatorLujan,@MarshaBlackburn,@SenatorHick,@SenatorHeinrich,@SenCortezMasto,@SenatorRomney,@ChrisVanHollen,@maziehirono,@SenatorHassan,@SenJeffMerkley,@SenatorSinema,@SenatorBennet,@SenMarkey,@SenSanders,@SenMarkKelly,@SenWarren,@SenPeterWelch,@SenBlumenthal,@SenDuckworth,@SenMikeLee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorMenendez,@SenSherrodBrown,@SenJackReed,@SenWhitehouse,@SenAmyKlobuchar,@SenGillibrand,@SenAngusKing,@SenTedCruz,@SenBooker,@SenRickScott,@maziehirono,@ChuckGrassley,@SenatorCardin,@SenJeffMerkley,@SenatorBaldwin,@SenSchumer,@ChrisMurphyCT,@SenatorCarper,@SenBobCasey,@SenatorHagerty,@SenatorDurbin,@SenMarkey,@SenSanders,@SenRonJohnson,@ChrisCoons,@SenatorCollins,@SenAlexPadilla,@SenatorTester,@SenatorMenendez,@SenJoniErnst,@SenatorLankford,@SenatorWicker,@SenTomCotton,@SenJackyRosen,@SenatorRisch,,,,,,,,,,,,,,,,
SenatorRicketts,@MarshaBlackburn,@SenatorBraun,@SenLummis,@HawleyMO,@SenAmyKlobuchar,@SenJohnBarrasso,@SenCapito,@SenatorRicketts,@MikeCrapo,@RogerMarshallMD,@SenRonJohnson,@SenTedCruz,@SenatorCardin,@ChuckGrassley,@SenatorShaheen,@SenToddYoung,@ChrisVanHollen,@SteveDaines,@SenTomCotton,@ChrisCoons,@SenTinaSmith,@SenAlexPadilla,@SenatorFischer,@SenBlumenthal,@SenJoniErnst,@SenatorTimScott,@LeaderMcConnell,@JohnCornyn,@SenMikeLee,@SenatorRisch,,,,,,,,,,,,,,,,,,,,
SenatorRisch,@MarshaBlackburn,@SenTuberville,@MarkWarner,@HawleyMO,@SenJohnBarrasso,@SenDanSullivan,@SenatorRicketts,@MikeCrapo,@SenatorRomney,@SenatorHeinrich,@SenatorCardin,@SenTedCruz,@ChrisVanHollen,@SenRonJohnson,@SenatorShaheen,@ossoff,@ChrisMurphyCT,@SenSchumer,@SenKevinCramer,@ChrisCoons,@marcorubio,@JohnBoozman,@SenatorMenendez,@SenJoniErnst,@LeaderMcConnell,@SenatorWicker,@JohnCornyn,@SenTomCotton,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,
SenatorRomney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorRounds,@SenSherrodBrown,@lisamurkowski,@SenatorHeinrich,@SenJohnThune,@SenJoniErnst,@SenatorShaheen,@SenToddYoung,@LeaderMcConnell,@SenSchumer,@SenTinaSmith,@SenJackyRosen,@SenatorRounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorShaheen,@MarkWarner,@SenatorHick,@SenLummis,@RonWyden,@SenCortezMasto,@SenatorRomney,@ChrisVanHollen,@maziehirono,@SenatorBaldwin,@SenatorShaheen,@SenVancePress,@SenToddYoung,@SenSchumer,@brianschatz,@SenatorBennet,@SenMarkey,@SenMarkKelly,@SenatorCantwell,@SenAlexPadilla,@SenStabenow,@SenJoniErnst,@JohnCornyn,@SenGillibrand,@SenatorRisch,@SenatorBraun,@SenSherrodBrown,@JeffMerkley,@SenAmyKlobuchar,@SenatorRicketts,@PattyMurray,@SenatorHassan,@ChrisMurphyCT,@SenatorSinema,@SenatorRounds,@SenSanders,@ChrisCoons,@SenWarren,@SenatorCollins,@SenTimKaine,@SenThomTillis,@SenDuckworth,@SenTinaSmith,@SenJackyRosen,@SenEricSchmitt,,,,,,
SenatorSinema,@SenatorLujan,@MarshaBlackburn,@SenSherrodBrown,@SenatorHeinrich,@SenCapito,@SenJohnBarrasso,@SenCortezMasto,@SenTedCruz,@ChuckGrassley,@ChrisMurphyCT,@SenSchumer,@SenatorSinema,@SenatorBennet,@SenSanders,@SenMarkKelly,@SenTomCotton,@SenWarren,@JohnBoozman,@SenatorTester,@SenJoniErnst,@LeaderMcConnell,@JohnCornyn,@SenAngusKing,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorTester,@MarshaBlackburn,@MarkWarner,@SenSherrodBrown,@SenWhitehouse,@SenAmyKlobuchar,@SenatorHeinrich,@SenDanSullivan,@MikeCrapo,@SenAngusKing,@ChrisVanHollen,@JerryMoran,@SenatorBaldwin,@SenatorShaheen,@PattyMurray,@SenSchumer,@SteveDaines,@SenatorSinema,@SenatorBennet,@SenatorDurbin,@SenatorHagerty,@SenMarkKelly,@ChrisCoons,@SenWarren,@marcorubio,@SenJackyRosen,@SenStabenow,@SenatorTester,@SenTimKaine,@SenBlumenthal,@SenatorTimScott,@LeaderMcConnell,@SenFettermanPA,@SenatorWicker,@SenTinaSmith,@SenGillibrand,,,,,,,,,,,,,,,
SenatorTimScott,@SenJohnKennedy,@ChrisCoons,@HawleyMO,@SenJohnBarrasso,@SenAlexPadilla,@MikeCrapo,@SenatorRicketts,@SenBlumenthal,@SenatorCardin,@SenTedCruz,@SenatorTimScott,@LeaderMcConnell,@SteveDaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorWicker,@MarshaBlackburn,@SenTuberville,@RogerMarshallMD,@SenatorCardin,@SenTedCruz,@SenRickScott,@SenatorShaheen,@SenTedBuddNC,@SenHydeSmith,@SenatorDurbin,@SenatorHagerty,@ChrisCoons,@marcorubio,@SenatorTester,@SenatorMenendez,@SenJoniErnst,@SenatorFischer,@LeaderMcConnell,@SenatorWicker,@BillCassidy,@SenTomCotton,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenBlumenthal,@HawleyMO,@SenWhitehouse,@SenJohnBarrasso,@SenCortezMasto,@ChrisVanHollen,@maziehirono,@SenBooker,@SenatorBaldwin,@SenSchumer,@SenMullin,@SenatorDurbin,@SenMarkey,@SenAlexPadilla,@SenBlumenthal,@SenatorTimScott,@SenFettermanPA,@LeaderMcConnell,@SenAngusKing,@SenTomCotton,@SenGillibrand,@MarshaBlackburn,@SenJackReed,@SenAmyKlobuchar,@SenatorRicketts,@SenatorCardin,@SenTedCruz,@ChrisMurphyCT,@SenBobCasey,@SenSanders,@ChrisCoons,@SenWarren,@SenatorTester,@SenDuckworth,,,,,,,,,,,,,,,,,
SenBobCasey,@SenSherrodBrown,@SenWhitehouse,@SenAmyKlobuchar,@SenatorCardin,@SenTedCruz,@maziehirono,@SenBooker,@SenatorBaldwin,@ChrisMurphyCT,@SenSchumer,@SenatorCarper,@SenBobCasey,@SenMarkey,@SenSanders,@ChrisCoons,@SenWarren,@SenatorCollins,@SenatorTester,@SenBlumenthal,@SenatorMenendez,@SenatorTimScott,@SenFettermanPA,@SenTomCotton,@SenGillibrand,,,,,,,,,,,,,,,,,,,,,,,,,,
SenBooker,@SenWhitehouse,@SenCortezMasto,@SenTedCruz,@SenBooker,@SenatorBaldwin,@maziehirono,@ossoff,@SenSchumer,@SenBobCasey,@SenatorBennet,@SenatorDurbin,@SenMarkey,@SenSanders,@SenWarren,@SenAlexPadilla,@SenatorMenendez,@ReverendWarnock,@SenBlumenthal,@JohnCornyn,@SenDuckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
